Time,root.PAMAP2.d0.s3(DOUBLE)
1970-01-01T08:29:08.030+08:00,33.8125
1970-01-01T08:29:08.040+08:00,33.8125
1970-01-01T08:29:08.050+08:00,33.8125
1970-01-01T08:29:08.060+08:00,33.8125
1970-01-01T08:29:08.070+08:00,33.8125
1970-01-01T08:29:08.080+08:00,33.8125
1970-01-01T08:29:08.090+08:00,33.8125
1970-01-01T08:29:08.100+08:00,33.8125
1970-01-01T08:29:08.110+08:00,33.8125
1970-01-01T08:29:08.120+08:00,33.8125
1970-01-01T08:29:08.130+08:00,33.8125
1970-01-01T08:29:08.140+08:00,33.8125
1970-01-01T08:29:08.150+08:00,33.8125
1970-01-01T08:29:08.160+08:00,33.8125
1970-01-01T08:29:08.170+08:00,33.8125
1970-01-01T08:29:08.180+08:00,33.8125
1970-01-01T08:29:08.190+08:00,33.8125
1970-01-01T08:29:08.200+08:00,33.8125
1970-01-01T08:29:08.210+08:00,33.8125
1970-01-01T08:29:08.220+08:00,33.8125
1970-01-01T08:29:08.230+08:00,33.8125
1970-01-01T08:29:08.240+08:00,33.8125
1970-01-01T08:29:08.250+08:00,33.8125
1970-01-01T08:29:08.260+08:00,33.8125
1970-01-01T08:29:08.270+08:00,33.8125
1970-01-01T08:29:08.280+08:00,33.8125
1970-01-01T08:29:08.290+08:00,33.8125
1970-01-01T08:29:08.300+08:00,33.8125
1970-01-01T08:29:08.310+08:00,33.8125
1970-01-01T08:29:08.320+08:00,33.8125
1970-01-01T08:29:08.330+08:00,33.8125
1970-01-01T08:29:08.340+08:00,33.8125
1970-01-01T08:29:08.350+08:00,33.8125
1970-01-01T08:29:08.360+08:00,33.8125
1970-01-01T08:29:08.370+08:00,33.8125
1970-01-01T08:29:08.380+08:00,33.8125
1970-01-01T08:29:08.390+08:00,33.8125
1970-01-01T08:29:08.400+08:00,33.8125
1970-01-01T08:29:08.410+08:00,33.8125
1970-01-01T08:29:08.420+08:00,33.8125
1970-01-01T08:29:08.430+08:00,33.8125
1970-01-01T08:29:08.440+08:00,33.8125
1970-01-01T08:29:08.450+08:00,33.8125
1970-01-01T08:29:08.460+08:00,33.8125
1970-01-01T08:29:08.470+08:00,33.8125
1970-01-01T08:29:08.480+08:00,33.8125
1970-01-01T08:29:08.490+08:00,33.8125
1970-01-01T08:29:08.500+08:00,33.8125
1970-01-01T08:29:08.510+08:00,33.8125
1970-01-01T08:29:08.520+08:00,33.8125
1970-01-01T08:29:08.530+08:00,33.8125
1970-01-01T08:29:08.540+08:00,33.8125
1970-01-01T08:29:08.550+08:00,33.8125
1970-01-01T08:29:08.560+08:00,33.8125
1970-01-01T08:29:08.570+08:00,33.8125
1970-01-01T08:29:08.580+08:00,33.8125
1970-01-01T08:29:08.590+08:00,33.8125
1970-01-01T08:29:08.600+08:00,33.8125
1970-01-01T08:29:08.610+08:00,33.8125
1970-01-01T08:29:08.620+08:00,33.8125
1970-01-01T08:29:08.630+08:00,33.8125
1970-01-01T08:29:08.640+08:00,33.8125
1970-01-01T08:29:08.650+08:00,33.8125
1970-01-01T08:29:08.660+08:00,33.8125
1970-01-01T08:29:08.670+08:00,33.8125
1970-01-01T08:29:08.680+08:00,33.8125
1970-01-01T08:29:08.690+08:00,33.8125
1970-01-01T08:29:08.700+08:00,33.8125
1970-01-01T08:29:08.710+08:00,33.8125
1970-01-01T08:29:08.720+08:00,33.8125
1970-01-01T08:29:08.730+08:00,33.8125
1970-01-01T08:29:08.740+08:00,33.8125
1970-01-01T08:29:08.750+08:00,33.8125
1970-01-01T08:29:08.760+08:00,33.8125
1970-01-01T08:29:08.770+08:00,33.8125
1970-01-01T08:29:08.780+08:00,33.8125
1970-01-01T08:29:08.790+08:00,33.8125
1970-01-01T08:29:08.800+08:00,33.8125
1970-01-01T08:29:08.810+08:00,33.8125
1970-01-01T08:29:08.820+08:00,33.8125
1970-01-01T08:29:08.830+08:00,33.8125
1970-01-01T08:29:08.840+08:00,33.8125
1970-01-01T08:29:08.850+08:00,33.8125
1970-01-01T08:29:08.860+08:00,33.8125
1970-01-01T08:29:08.870+08:00,33.8125
1970-01-01T08:29:08.880+08:00,33.8125
1970-01-01T08:29:08.890+08:00,33.8125
1970-01-01T08:29:08.900+08:00,33.8125
1970-01-01T08:29:08.910+08:00,33.8125
1970-01-01T08:29:08.920+08:00,33.8125
1970-01-01T08:29:08.930+08:00,33.8125
1970-01-01T08:29:08.940+08:00,33.8125
1970-01-01T08:29:08.950+08:00,33.8125
1970-01-01T08:29:08.960+08:00,33.8125
1970-01-01T08:29:08.970+08:00,33.8125
1970-01-01T08:29:08.980+08:00,33.8125
1970-01-01T08:29:08.990+08:00,33.8125
1970-01-01T08:29:09.000+08:00,33.8125
1970-01-01T08:29:09.010+08:00,33.8125
1970-01-01T08:29:09.020+08:00,33.8125
1970-01-01T08:29:09.030+08:00,33.8125
1970-01-01T08:29:09.040+08:00,33.8125
1970-01-01T08:29:09.050+08:00,33.8125
1970-01-01T08:29:09.060+08:00,33.8125
1970-01-01T08:29:09.070+08:00,33.8125
1970-01-01T08:29:09.080+08:00,33.8125
1970-01-01T08:29:09.090+08:00,33.8125
1970-01-01T08:29:09.100+08:00,33.8125
1970-01-01T08:29:09.110+08:00,33.8125
1970-01-01T08:29:09.120+08:00,33.8125
1970-01-01T08:29:09.130+08:00,33.8125
1970-01-01T08:29:09.140+08:00,33.8125
1970-01-01T08:29:09.150+08:00,33.8125
1970-01-01T08:29:09.160+08:00,33.8125
1970-01-01T08:29:09.170+08:00,33.8125
1970-01-01T08:29:09.180+08:00,33.8125
1970-01-01T08:29:09.190+08:00,33.8125
1970-01-01T08:29:09.200+08:00,33.8125
1970-01-01T08:29:09.210+08:00,33.8125
1970-01-01T08:29:09.220+08:00,33.8125
1970-01-01T08:29:09.230+08:00,33.8125
1970-01-01T08:29:09.240+08:00,33.8125
1970-01-01T08:29:09.250+08:00,33.8125
1970-01-01T08:29:09.260+08:00,33.8125
1970-01-01T08:29:09.270+08:00,33.8125
1970-01-01T08:29:09.280+08:00,33.8125
1970-01-01T08:29:09.290+08:00,33.8125
1970-01-01T08:29:09.300+08:00,33.8125
1970-01-01T08:29:09.310+08:00,33.8125
1970-01-01T08:29:09.320+08:00,33.8125
1970-01-01T08:29:09.330+08:00,33.8125
1970-01-01T08:29:09.340+08:00,33.8125
1970-01-01T08:29:09.350+08:00,33.8125
1970-01-01T08:29:09.360+08:00,33.8125
1970-01-01T08:29:09.370+08:00,33.8125
1970-01-01T08:29:09.380+08:00,33.8125
1970-01-01T08:29:09.390+08:00,33.8125
1970-01-01T08:29:09.400+08:00,33.8125
1970-01-01T08:29:09.410+08:00,33.8125
1970-01-01T08:29:09.420+08:00,33.8125
1970-01-01T08:29:09.430+08:00,33.8125
1970-01-01T08:29:09.440+08:00,33.8125
1970-01-01T08:29:09.450+08:00,33.8125
1970-01-01T08:29:09.460+08:00,33.8125
1970-01-01T08:29:09.470+08:00,33.8125
1970-01-01T08:29:09.480+08:00,33.8125
1970-01-01T08:29:09.490+08:00,33.8125
1970-01-01T08:29:09.500+08:00,33.8125
1970-01-01T08:29:09.510+08:00,33.8125
1970-01-01T08:29:09.520+08:00,33.8125
1970-01-01T08:29:09.530+08:00,33.8125
1970-01-01T08:29:09.540+08:00,33.8125
1970-01-01T08:29:09.550+08:00,33.8125
1970-01-01T08:29:09.560+08:00,33.8125
1970-01-01T08:29:09.570+08:00,33.8125
1970-01-01T08:29:09.580+08:00,33.8125
1970-01-01T08:29:09.590+08:00,33.8125
1970-01-01T08:29:09.600+08:00,33.8125
1970-01-01T08:29:09.610+08:00,33.8125
1970-01-01T08:29:09.620+08:00,33.8125
1970-01-01T08:29:09.630+08:00,33.8125
1970-01-01T08:29:09.640+08:00,33.8125
1970-01-01T08:29:09.650+08:00,33.8125
1970-01-01T08:29:09.660+08:00,33.8125
1970-01-01T08:29:09.670+08:00,33.8125
1970-01-01T08:29:09.680+08:00,33.8125
1970-01-01T08:29:09.690+08:00,33.8125
1970-01-01T08:29:09.700+08:00,33.8125
1970-01-01T08:29:09.710+08:00,33.8125
1970-01-01T08:29:09.720+08:00,33.8125
1970-01-01T08:29:09.730+08:00,33.8125
1970-01-01T08:29:09.740+08:00,33.8125
1970-01-01T08:29:09.750+08:00,33.8125
1970-01-01T08:29:09.760+08:00,33.8125
1970-01-01T08:29:09.770+08:00,33.8125
1970-01-01T08:29:09.780+08:00,33.8125
1970-01-01T08:29:09.790+08:00,33.8125
1970-01-01T08:29:09.800+08:00,33.8125
1970-01-01T08:29:09.810+08:00,33.8125
1970-01-01T08:29:09.820+08:00,33.8125
1970-01-01T08:29:09.830+08:00,33.8125
1970-01-01T08:29:09.840+08:00,33.8125
1970-01-01T08:29:09.850+08:00,33.8125
1970-01-01T08:29:09.860+08:00,33.8125
1970-01-01T08:29:09.870+08:00,33.8125
1970-01-01T08:29:09.880+08:00,33.8125
1970-01-01T08:29:09.890+08:00,33.8125
1970-01-01T08:29:09.900+08:00,33.8125
1970-01-01T08:29:09.910+08:00,33.8125
1970-01-01T08:29:09.920+08:00,33.8125
1970-01-01T08:29:09.930+08:00,33.8125
1970-01-01T08:29:09.940+08:00,33.8125
1970-01-01T08:29:09.950+08:00,33.8125
1970-01-01T08:29:09.960+08:00,33.8125
1970-01-01T08:29:09.970+08:00,33.8125
1970-01-01T08:29:09.980+08:00,33.8125
1970-01-01T08:29:09.990+08:00,33.8125
1970-01-01T08:29:10.000+08:00,33.8125
1970-01-01T08:29:10.010+08:00,33.8125
1970-01-01T08:29:10.020+08:00,33.8125
1970-01-01T08:29:10.030+08:00,33.8125
1970-01-01T08:29:10.040+08:00,33.8125
1970-01-01T08:29:10.050+08:00,33.8125
1970-01-01T08:29:10.060+08:00,33.8125
1970-01-01T08:29:10.070+08:00,33.8125
1970-01-01T08:29:10.080+08:00,33.8125
1970-01-01T08:29:10.090+08:00,33.8125
1970-01-01T08:29:10.100+08:00,33.8125
1970-01-01T08:29:10.110+08:00,33.8125
1970-01-01T08:29:10.120+08:00,33.8125
1970-01-01T08:29:10.130+08:00,33.8125
1970-01-01T08:29:10.140+08:00,33.8125
1970-01-01T08:29:10.150+08:00,33.8125
1970-01-01T08:29:10.160+08:00,33.8125
1970-01-01T08:29:10.170+08:00,33.8125
1970-01-01T08:29:10.180+08:00,33.8125
1970-01-01T08:29:10.190+08:00,33.8125
1970-01-01T08:29:10.200+08:00,33.8125
1970-01-01T08:29:10.210+08:00,33.8125
1970-01-01T08:29:10.220+08:00,33.8125
1970-01-01T08:29:10.230+08:00,33.8125
1970-01-01T08:29:10.240+08:00,33.8125
1970-01-01T08:29:10.250+08:00,33.8125
1970-01-01T08:29:10.260+08:00,33.8125
1970-01-01T08:29:10.270+08:00,33.8125
1970-01-01T08:29:10.280+08:00,33.8125
1970-01-01T08:29:10.290+08:00,33.8125
1970-01-01T08:29:10.300+08:00,33.8125
1970-01-01T08:29:10.310+08:00,33.8125
1970-01-01T08:29:10.320+08:00,33.8125
1970-01-01T08:29:10.330+08:00,33.8125
1970-01-01T08:29:10.340+08:00,33.8125
1970-01-01T08:29:10.350+08:00,33.8125
1970-01-01T08:29:10.360+08:00,33.8125
1970-01-01T08:29:10.370+08:00,33.8125
1970-01-01T08:29:10.380+08:00,33.8125
1970-01-01T08:29:10.390+08:00,33.8125
1970-01-01T08:29:10.400+08:00,33.8125
1970-01-01T08:29:10.410+08:00,33.8125
1970-01-01T08:29:10.420+08:00,33.8125
1970-01-01T08:29:10.430+08:00,33.8125
1970-01-01T08:29:10.440+08:00,33.8125
1970-01-01T08:29:10.450+08:00,33.8125
1970-01-01T08:29:10.460+08:00,33.8125
1970-01-01T08:29:10.470+08:00,33.8125
1970-01-01T08:29:10.480+08:00,33.8125
1970-01-01T08:29:10.490+08:00,33.8125
1970-01-01T08:29:10.500+08:00,33.8125
1970-01-01T08:29:10.510+08:00,33.8125
1970-01-01T08:29:10.520+08:00,33.8125
1970-01-01T08:29:10.530+08:00,33.8125
1970-01-01T08:29:10.540+08:00,33.8125
1970-01-01T08:29:10.550+08:00,33.8125
1970-01-01T08:29:10.560+08:00,33.8125
1970-01-01T08:29:10.570+08:00,33.8125
1970-01-01T08:29:10.580+08:00,33.8125
1970-01-01T08:29:10.590+08:00,33.8125
1970-01-01T08:29:10.600+08:00,33.8125
1970-01-01T08:29:10.610+08:00,33.8125
1970-01-01T08:29:10.620+08:00,33.8125
1970-01-01T08:29:10.630+08:00,33.8125
1970-01-01T08:29:10.640+08:00,33.8125
1970-01-01T08:29:10.650+08:00,33.8125
1970-01-01T08:29:10.660+08:00,33.8125
1970-01-01T08:29:10.670+08:00,33.8125
1970-01-01T08:29:10.680+08:00,33.8125
1970-01-01T08:29:10.690+08:00,33.8125
1970-01-01T08:29:10.700+08:00,33.8125
1970-01-01T08:29:10.710+08:00,33.8125
1970-01-01T08:29:10.720+08:00,33.8125
1970-01-01T08:29:10.730+08:00,33.8125
1970-01-01T08:29:10.740+08:00,33.8125
1970-01-01T08:29:10.750+08:00,33.8125
1970-01-01T08:29:10.760+08:00,33.8125
1970-01-01T08:29:10.770+08:00,33.8125
1970-01-01T08:29:10.780+08:00,33.8125
1970-01-01T08:29:10.790+08:00,33.8125
1970-01-01T08:29:10.800+08:00,33.8125
1970-01-01T08:29:10.810+08:00,33.8125
1970-01-01T08:29:10.820+08:00,33.8125
1970-01-01T08:29:10.830+08:00,33.8125
1970-01-01T08:29:10.840+08:00,33.8125
1970-01-01T08:29:10.850+08:00,33.8125
1970-01-01T08:29:10.860+08:00,33.8125
1970-01-01T08:29:10.870+08:00,33.8125
1970-01-01T08:29:10.880+08:00,33.8125
1970-01-01T08:29:10.890+08:00,33.8125
1970-01-01T08:29:10.900+08:00,33.8125
1970-01-01T08:29:10.910+08:00,33.8125
1970-01-01T08:29:10.920+08:00,33.8125
1970-01-01T08:29:10.930+08:00,33.8125
1970-01-01T08:29:10.940+08:00,33.8125
1970-01-01T08:29:10.950+08:00,33.8125
1970-01-01T08:29:10.960+08:00,33.8125
1970-01-01T08:29:10.970+08:00,33.8125
1970-01-01T08:29:10.980+08:00,33.8125
1970-01-01T08:29:10.990+08:00,33.8125
1970-01-01T08:29:11.000+08:00,33.8125
1970-01-01T08:29:11.010+08:00,33.8125
1970-01-01T08:29:11.020+08:00,33.8125
1970-01-01T08:29:11.030+08:00,33.8125
1970-01-01T08:29:11.040+08:00,33.8125
1970-01-01T08:29:11.050+08:00,33.8125
1970-01-01T08:29:11.060+08:00,33.8125
1970-01-01T08:29:11.070+08:00,33.8125
1970-01-01T08:29:11.080+08:00,33.8125
1970-01-01T08:29:11.090+08:00,33.8125
1970-01-01T08:29:11.100+08:00,33.8125
1970-01-01T08:29:11.110+08:00,33.8125
1970-01-01T08:29:11.120+08:00,33.8125
1970-01-01T08:29:11.130+08:00,33.8125
1970-01-01T08:29:11.140+08:00,33.8125
1970-01-01T08:29:11.150+08:00,33.8125
1970-01-01T08:29:11.160+08:00,33.8125
1970-01-01T08:29:11.170+08:00,33.8125
1970-01-01T08:29:11.180+08:00,33.8125
1970-01-01T08:29:11.190+08:00,33.8125
1970-01-01T08:29:11.200+08:00,33.8125
1970-01-01T08:29:11.210+08:00,33.8125
1970-01-01T08:29:11.220+08:00,33.8125
1970-01-01T08:29:11.230+08:00,33.8125
1970-01-01T08:29:11.240+08:00,33.8125
1970-01-01T08:29:11.250+08:00,33.8125
1970-01-01T08:29:11.260+08:00,33.8125
1970-01-01T08:29:11.270+08:00,33.8125
1970-01-01T08:29:11.280+08:00,33.8125
1970-01-01T08:29:11.290+08:00,33.8125
1970-01-01T08:29:11.300+08:00,33.8125
1970-01-01T08:29:11.310+08:00,33.8125
1970-01-01T08:29:11.320+08:00,33.8125
1970-01-01T08:29:11.330+08:00,33.8125
1970-01-01T08:29:11.340+08:00,33.8125
1970-01-01T08:29:11.350+08:00,33.8125
1970-01-01T08:29:11.360+08:00,33.8125
1970-01-01T08:29:11.370+08:00,33.8125
1970-01-01T08:29:11.380+08:00,33.8125
1970-01-01T08:29:11.390+08:00,33.8125
1970-01-01T08:29:11.400+08:00,33.8125
1970-01-01T08:29:11.410+08:00,33.8125
1970-01-01T08:29:11.420+08:00,33.8125
1970-01-01T08:29:11.430+08:00,33.8125
1970-01-01T08:29:11.440+08:00,33.8125
1970-01-01T08:29:11.450+08:00,33.8125
1970-01-01T08:29:11.460+08:00,33.8125
1970-01-01T08:29:11.470+08:00,33.8125
1970-01-01T08:29:11.480+08:00,33.8125
1970-01-01T08:29:11.490+08:00,33.8125
1970-01-01T08:29:11.500+08:00,33.8125
1970-01-01T08:29:11.510+08:00,33.8125
1970-01-01T08:29:11.520+08:00,33.8125
1970-01-01T08:29:11.530+08:00,33.8125
1970-01-01T08:29:11.540+08:00,33.8125
1970-01-01T08:29:11.550+08:00,33.8125
1970-01-01T08:29:11.560+08:00,33.8125
1970-01-01T08:29:11.570+08:00,33.8125
1970-01-01T08:29:11.580+08:00,33.8125
1970-01-01T08:29:11.590+08:00,33.8125
1970-01-01T08:29:11.600+08:00,33.8125
1970-01-01T08:29:11.610+08:00,33.8125
1970-01-01T08:29:11.620+08:00,33.8125
1970-01-01T08:29:11.630+08:00,33.8125
1970-01-01T08:29:11.640+08:00,33.8125
1970-01-01T08:29:11.650+08:00,33.8125
1970-01-01T08:29:11.660+08:00,33.8125
1970-01-01T08:29:11.670+08:00,33.8125
1970-01-01T08:29:11.680+08:00,33.8125
1970-01-01T08:29:11.690+08:00,33.8125
1970-01-01T08:29:11.700+08:00,33.8125
1970-01-01T08:29:11.710+08:00,33.8125
1970-01-01T08:29:11.720+08:00,33.8125
1970-01-01T08:29:11.730+08:00,33.8125
1970-01-01T08:29:11.740+08:00,33.8125
1970-01-01T08:29:11.750+08:00,33.8125
1970-01-01T08:29:11.760+08:00,33.8125
1970-01-01T08:29:11.770+08:00,33.8125
1970-01-01T08:29:11.780+08:00,33.8125
1970-01-01T08:29:11.790+08:00,33.8125
1970-01-01T08:29:11.800+08:00,33.8125
1970-01-01T08:29:11.810+08:00,33.8125
1970-01-01T08:29:11.820+08:00,33.8125
1970-01-01T08:29:11.830+08:00,33.8125
1970-01-01T08:29:11.840+08:00,33.8125
1970-01-01T08:29:11.850+08:00,33.8125
1970-01-01T08:29:11.860+08:00,33.8125
1970-01-01T08:29:11.870+08:00,33.8125
1970-01-01T08:29:11.880+08:00,33.8125
1970-01-01T08:29:11.890+08:00,33.8125
1970-01-01T08:29:11.900+08:00,33.8125
1970-01-01T08:29:11.910+08:00,33.8125
1970-01-01T08:29:11.920+08:00,33.8125
1970-01-01T08:29:11.930+08:00,33.8125
1970-01-01T08:29:11.940+08:00,33.8125
1970-01-01T08:29:11.950+08:00,33.8125
1970-01-01T08:29:11.960+08:00,33.8125
1970-01-01T08:29:11.970+08:00,33.8125
1970-01-01T08:29:11.980+08:00,33.8125
1970-01-01T08:29:11.990+08:00,33.8125
1970-01-01T08:29:12.000+08:00,33.8125
1970-01-01T08:29:12.010+08:00,33.8125
1970-01-01T08:29:12.020+08:00,33.8125
1970-01-01T08:29:12.030+08:00,33.8125
1970-01-01T08:29:12.040+08:00,33.8125
1970-01-01T08:29:12.050+08:00,33.8125
1970-01-01T08:29:12.060+08:00,33.8125
1970-01-01T08:29:12.070+08:00,33.8125
1970-01-01T08:29:12.080+08:00,33.8125
1970-01-01T08:29:12.090+08:00,33.8125
1970-01-01T08:29:12.100+08:00,33.8125
1970-01-01T08:29:12.110+08:00,33.8125
1970-01-01T08:29:12.120+08:00,33.8125
1970-01-01T08:29:12.130+08:00,33.8125
1970-01-01T08:29:12.140+08:00,33.8125
1970-01-01T08:29:12.150+08:00,33.8125
1970-01-01T08:29:12.160+08:00,33.8125
1970-01-01T08:29:12.170+08:00,33.8125
1970-01-01T08:29:12.180+08:00,33.8125
1970-01-01T08:29:12.190+08:00,33.8125
1970-01-01T08:29:12.200+08:00,33.8125
1970-01-01T08:29:12.210+08:00,33.8125
1970-01-01T08:29:12.220+08:00,33.8125
1970-01-01T08:29:12.230+08:00,33.8125
1970-01-01T08:29:12.240+08:00,33.8125
1970-01-01T08:29:12.250+08:00,33.8125
1970-01-01T08:29:12.260+08:00,33.8125
1970-01-01T08:29:12.270+08:00,33.8125
1970-01-01T08:29:12.280+08:00,33.8125
1970-01-01T08:29:12.290+08:00,33.8125
1970-01-01T08:29:12.300+08:00,33.8125
1970-01-01T08:29:12.310+08:00,33.8125
1970-01-01T08:29:12.320+08:00,33.8125
1970-01-01T08:29:12.330+08:00,33.8125
1970-01-01T08:29:12.340+08:00,33.8125
1970-01-01T08:29:12.350+08:00,33.8125
1970-01-01T08:29:12.360+08:00,33.8125
1970-01-01T08:29:12.370+08:00,33.8125
1970-01-01T08:29:12.380+08:00,33.8125
1970-01-01T08:29:12.390+08:00,33.8125
1970-01-01T08:29:12.400+08:00,33.8125
1970-01-01T08:29:12.410+08:00,33.8125
1970-01-01T08:29:12.420+08:00,33.8125
1970-01-01T08:29:12.430+08:00,33.8125
1970-01-01T08:29:12.440+08:00,33.8125
1970-01-01T08:29:12.450+08:00,33.8125
1970-01-01T08:29:12.460+08:00,33.8125
1970-01-01T08:29:12.470+08:00,33.8125
1970-01-01T08:29:12.480+08:00,33.8125
1970-01-01T08:29:12.490+08:00,33.8125
1970-01-01T08:29:12.500+08:00,33.8125
1970-01-01T08:29:12.510+08:00,33.8125
1970-01-01T08:29:12.520+08:00,33.8125
1970-01-01T08:29:12.530+08:00,33.8125
1970-01-01T08:29:12.540+08:00,33.8125
1970-01-01T08:29:12.550+08:00,33.8125
1970-01-01T08:29:12.560+08:00,33.8125
1970-01-01T08:29:12.570+08:00,33.8125
1970-01-01T08:29:12.580+08:00,33.8125
1970-01-01T08:29:12.590+08:00,33.8125
1970-01-01T08:29:12.600+08:00,33.8125
1970-01-01T08:29:12.610+08:00,33.8125
1970-01-01T08:29:12.620+08:00,33.8125
1970-01-01T08:29:12.630+08:00,33.8125
1970-01-01T08:29:12.640+08:00,33.8125
1970-01-01T08:29:12.650+08:00,33.8125
1970-01-01T08:29:12.660+08:00,33.8125
1970-01-01T08:29:12.670+08:00,33.8125
1970-01-01T08:29:12.680+08:00,33.8125
1970-01-01T08:29:12.690+08:00,33.8125
1970-01-01T08:29:12.700+08:00,33.8125
1970-01-01T08:29:12.710+08:00,33.8125
1970-01-01T08:29:12.720+08:00,33.8125
1970-01-01T08:29:12.730+08:00,33.8125
1970-01-01T08:29:12.740+08:00,33.8125
1970-01-01T08:29:12.750+08:00,33.8125
1970-01-01T08:29:12.760+08:00,33.8125
1970-01-01T08:29:12.770+08:00,33.8125
1970-01-01T08:29:12.780+08:00,33.8125
1970-01-01T08:29:12.790+08:00,33.8125
1970-01-01T08:29:12.800+08:00,33.8125
1970-01-01T08:29:12.810+08:00,33.8125
1970-01-01T08:29:12.820+08:00,33.8125
1970-01-01T08:29:12.830+08:00,33.8125
1970-01-01T08:29:12.840+08:00,33.8125
1970-01-01T08:29:12.850+08:00,33.8125
1970-01-01T08:29:12.860+08:00,33.8125
1970-01-01T08:29:12.870+08:00,33.8125
1970-01-01T08:29:12.880+08:00,33.8125
1970-01-01T08:29:12.890+08:00,33.8125
1970-01-01T08:29:12.900+08:00,33.8125
1970-01-01T08:29:12.910+08:00,33.8125
1970-01-01T08:29:12.920+08:00,33.8125
1970-01-01T08:29:12.930+08:00,33.8125
1970-01-01T08:29:12.940+08:00,33.8125
1970-01-01T08:29:12.950+08:00,33.8125
1970-01-01T08:29:12.960+08:00,33.8125
1970-01-01T08:29:12.970+08:00,33.8125
1970-01-01T08:29:12.980+08:00,33.8125
1970-01-01T08:29:12.990+08:00,33.8125
1970-01-01T08:29:13.000+08:00,33.8125
1970-01-01T08:29:13.010+08:00,33.8125
1970-01-01T08:29:13.020+08:00,33.8125
1970-01-01T08:29:13.030+08:00,33.8125
1970-01-01T08:29:13.040+08:00,33.8125
1970-01-01T08:29:13.050+08:00,33.8125
1970-01-01T08:29:13.060+08:00,33.8125
1970-01-01T08:29:13.070+08:00,33.8125
1970-01-01T08:29:13.080+08:00,33.8125
1970-01-01T08:29:13.090+08:00,33.8125
1970-01-01T08:29:13.100+08:00,33.8125
1970-01-01T08:29:13.110+08:00,33.8125
1970-01-01T08:29:13.120+08:00,33.8125
1970-01-01T08:29:13.130+08:00,33.8125
1970-01-01T08:29:13.140+08:00,33.8125
1970-01-01T08:29:13.150+08:00,33.8125
1970-01-01T08:29:13.160+08:00,33.8125
1970-01-01T08:29:13.170+08:00,33.8125
1970-01-01T08:29:13.180+08:00,33.8125
1970-01-01T08:29:13.190+08:00,33.8125
1970-01-01T08:29:13.200+08:00,33.8125
1970-01-01T08:29:13.210+08:00,33.8125
1970-01-01T08:29:13.220+08:00,33.8125
1970-01-01T08:29:13.230+08:00,33.8125
1970-01-01T08:29:13.240+08:00,33.8125
1970-01-01T08:29:13.250+08:00,33.8125
1970-01-01T08:29:13.260+08:00,33.8125
1970-01-01T08:29:13.270+08:00,33.8125
1970-01-01T08:29:13.280+08:00,33.8125
1970-01-01T08:29:13.290+08:00,33.8125
1970-01-01T08:29:13.300+08:00,33.8125
1970-01-01T08:29:13.310+08:00,33.8125
1970-01-01T08:29:13.320+08:00,33.8125
1970-01-01T08:29:13.330+08:00,33.8125
1970-01-01T08:29:13.340+08:00,33.8125
1970-01-01T08:29:13.350+08:00,33.8125
1970-01-01T08:29:13.360+08:00,33.8125
1970-01-01T08:29:13.370+08:00,33.8125
1970-01-01T08:29:13.380+08:00,33.8125
1970-01-01T08:29:13.390+08:00,33.8125
1970-01-01T08:29:13.400+08:00,33.8125
1970-01-01T08:29:13.410+08:00,33.8125
1970-01-01T08:29:13.420+08:00,33.8125
1970-01-01T08:29:13.430+08:00,33.8125
1970-01-01T08:29:13.440+08:00,33.8125
1970-01-01T08:29:13.450+08:00,33.8125
1970-01-01T08:29:13.460+08:00,33.8125
1970-01-01T08:29:13.470+08:00,33.8125
1970-01-01T08:29:13.480+08:00,33.8125
1970-01-01T08:29:13.490+08:00,33.8125
1970-01-01T08:29:13.500+08:00,33.8125
1970-01-01T08:29:13.510+08:00,33.8125
1970-01-01T08:29:13.520+08:00,33.8125
1970-01-01T08:29:13.530+08:00,33.8125
1970-01-01T08:29:13.540+08:00,33.8125
1970-01-01T08:29:13.550+08:00,33.8125
1970-01-01T08:29:13.560+08:00,33.8125
1970-01-01T08:29:13.570+08:00,33.8125
1970-01-01T08:29:13.580+08:00,33.8125
1970-01-01T08:29:13.590+08:00,33.8125
1970-01-01T08:29:13.600+08:00,33.8125
1970-01-01T08:29:13.610+08:00,33.8125
1970-01-01T08:29:13.620+08:00,33.8125
1970-01-01T08:29:13.630+08:00,33.8125
1970-01-01T08:29:13.640+08:00,33.8125
1970-01-01T08:29:13.650+08:00,33.8125
1970-01-01T08:29:13.660+08:00,33.8125
1970-01-01T08:29:13.670+08:00,33.8125
1970-01-01T08:29:13.680+08:00,33.8125
1970-01-01T08:29:13.690+08:00,33.8125
1970-01-01T08:29:13.700+08:00,33.8125
1970-01-01T08:29:13.710+08:00,33.8125
1970-01-01T08:29:13.720+08:00,33.8125
1970-01-01T08:29:13.730+08:00,33.8125
1970-01-01T08:29:13.740+08:00,33.8125
1970-01-01T08:29:13.750+08:00,33.8125
1970-01-01T08:29:13.760+08:00,33.8125
1970-01-01T08:29:13.770+08:00,33.8125
1970-01-01T08:29:13.780+08:00,33.8125
1970-01-01T08:29:13.790+08:00,33.8125
1970-01-01T08:29:13.800+08:00,33.8125
1970-01-01T08:29:13.810+08:00,33.8125
1970-01-01T08:29:13.820+08:00,33.8125
1970-01-01T08:29:13.830+08:00,33.8125
1970-01-01T08:29:13.840+08:00,33.8125
